T,L,M,absM,E,M2,E2,M4
1.80000000,16,0.95714453,0.95714453,-1.86028125,0.91693170,3.46639465,0.84359151
1.82000000,16,-0.95274414,0.95274414,-1.84837891,0.90868959,3.42251251,0.82903038
1.84000000,16,0.95040039,0.95044727,-1.84207813,0.90463426,3.39980017,0.82214208
1.86000000,16,-0.94581641,0.94581641,-1.82918750,0.89569501,3.35266357,0.80610288
1.88000000,16,0.94263867,0.94263867,-1.82066016,0.88985866,3.32203888,0.79613500
1.90000000,16,0.93793750,0.93793750,-1.80792578,0.88114160,3.27652325,0.78109748
1.92000000,16,0.93390625,0.93390625,-1.79864844,0.87382712,3.24382434,0.76891492
1.94000000,16,-0.92854883,0.92854883,-1.78491406,0.86407167,3.19508240,0.75254082
1.96000000,16,-0.92369531,0.92369531,-1.77287500,0.85532632,3.15284924,0.73819688
1.98000000,16,-0.91723242,0.91723242,-1.75823047,0.84403389,3.10211322,0.72029468
2.00000000,16,0.48036133,0.91225195,-1.74709766,0.83501613,3.06311810,0.70542151
2.02000000,16,0.90661523,0.90661523,-1.73439063,0.82500984,3.01945374,0.68958895
2.04000000,16,0.89844336,0.89844336,-1.71741797,0.81131099,2.96233832,0.66933204
2.06000000,16,-0.89009375,0.89012109,-1.70037500,0.79681470,2.90483496,0.64675474
2.08000000,16,0.88066797,0.88066797,-1.68146484,0.78079855,2.84232269,0.62335457
2.10000000,16,-0.08261328,0.87029687,-1.66385547,0.76437109,2.78501642,0.60125572
2.10500000,16,0.66998047,0.86455859,-1.65533203,0.75555203,2.75657684,0.58892412
2.11000000,16,0.40419727,0.86242383,-1.65237500,0.75277794,2.74767542,0.58584142
2.11500000,16,0.45781641,0.85862500,-1.64606641,0.74758295,2.72770282,0.57967243
2.12000000,16,-0.31887109,0.85988672,-1.64666797,0.74797003,2.72910956,0.57858599
2.12500000,16,-0.09553320,0.85302148,-1.63531250,0.73718398,2.69238074,0.56417223
